# uv coords for Mira obs: 5 minute sampling, 30 degrees min elevation
# Baselines: A1-B2 B2-C1 C1-D0 A1-D0 A1-C1 B2-D0

 -5.673   4.654   -6.493  -9.228  -13.011 -18.464  -25.178 -23.038  -12.166  -4.574  -19.504 -27.692
 -5.482   4.656   -6.479  -9.225  -12.984 -18.459  -24.945 -23.029  -11.962  -4.569  -19.463 -27.685
 -5.289   4.658   -6.462  -9.223  -12.950 -18.454  -24.701 -23.019  -11.751  -4.565  -19.412 -27.677
 -5.093   4.660   -6.443  -9.220  -12.910 -18.449  -24.445 -23.009  -11.535  -4.560  -19.353 -27.670
 -4.894   4.662   -6.420  -9.218  -12.864 -18.444  -24.178 -23.000  -11.314  -4.556  -19.284 -27.662
 -4.693   4.664   -6.394  -9.215  -12.811 -18.439  -23.899 -22.991  -11.087  -4.551  -19.205 -27.655
 -4.490   4.666   -6.365  -9.213  -12.753 -18.434  -23.608 -22.981  -10.855  -4.547  -19.118 -27.647
 -4.285   4.667   -6.333  -9.210  -12.689 -18.429  -23.307 -22.972  -10.618  -4.543  -19.022 -27.640
 -4.078   4.669   -6.298  -9.208  -12.618 -18.424  -22.994 -22.963  -10.376  -4.539  -18.916 -27.632

